industry_category,stock_id,stock_name,type,date
上櫃ETF,00696B,富邦美債20年,tpex,2025-11-14
上櫃指數股票型基金(ETF),00696B,富邦美債20年,tpex,2024-12-31
上櫃ETF,00697B,元大美債7-10,tpex,2025-11-14
上櫃指數股票型基金(ETF),00697B,元大美債7-10,tpex,2024-12-31
ETF,00698L,元大美債7-10正2,twse,2025-11-07
ETF,00699R,元大美債7-10反1,twse,2025-11-07
ETF,00700,富邦恒生國企,twse,2025-11-15
ETF,00701,國泰股利精選30,twse,2025-11-15
ETF,00702,國泰標普低波高息,twse,2025-11-15
ETF,00703,台新MSCI中國,twse,2025-11-15
ETF,00704L,台新MSCI台灣正2,twse,2025-11-07
ETF,00705R,台新MSCI台灣反1,twse,2025-11-07
ETF,00706L,期元大S&P日圓正2,twse,2025-11-15
ETF,00707R,期元大S&P日圓反1,twse,2025-11-15
ETF,00708L,期元大S&P黃金正2,twse,2025-11-15
ETF,00709,富邦歐洲,twse,2025-11-15
ETF,00710B,復華彭博非投等債,twse,2025-11-15
ETF,00711B,復華彭博新興債,twse,2025-11-15
ETF,00712,復華富時不動產,twse,2025-11-15
ETF,00713,元大台灣高息低波,twse,2025-11-15
ETF,00714,群益道瓊美國地產,twse,2025-11-15
ETF,00715L,期街口布蘭特正2,twse,2025-11-15
ETF,00716R,華頓S&P布蘭特反1,twse,2025-11-07
ETF,00717,富邦美國特別股,twse,2025-11-15
上櫃ETF,00718B,富邦中國政策債,tpex,2025-06-17
上櫃指數股票型基金(ETF),00718B,富邦中國政策債,tpex,2024-12-31
上櫃ETF,00719B,元大美債1-3,tpex,2025-11-14
上櫃指數股票型基金(ETF),00719B,元大美債1-3,tpex,2024-12-31
上櫃ETF,00720B,元大投資級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00720B,元大投資級公司債,tpex,2024-12-31
上櫃指數股票型基金(ETF),00721B,元大中國債3-5,tpex,2024-10-11
上櫃ETF,00722B,群益投資級電信債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00722B,群益投資級電信債,tpex,2024-12-31
上櫃ETF,00723B,群益投資級科技債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00723B,群益投資級科技債,tpex,2024-12-31
上櫃ETF,00724B,群益投資級金融債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00724B,群益投資級金融債,tpex,2024-12-31
上櫃ETF,00725B,國泰投資級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00725B,國泰投資級公司債,tpex,2024-12-31
上櫃ETF,00726B,國泰新興投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00726B,國泰新興投等債,tpex,2024-12-31
